model,n_ctx,kv_tokens_final,compute_only_pred_tps,memory_bound_pred_tps,measured_tps,compute_overestimate,memory_pred_error_pct
tinyllama-1.1b,4096,179,141818.18181818182,2311.165831591175,424.17526401594125,334.3386421817658,444.86105807063694
tinyllama-1.1b,4096,241,141818.18181818182,2306.3779267001473,420.04882513121,337.6230888727812,449.07377159779173
tinyllama-1.1b,4096,241,141818.18181818182,2306.3779267001473,420.3767436553696,337.359723054628,448.6454618409972
tinyllama-1.1b,4096,241,141818.18181818182,2306.3779267001473,421.32658906682036,336.599173890946,447.40858672329534
llama-2-7b,1024,170,23283.582089552237,372.88976907649766,155.5067843198549,149.72711442390377,139.79003276764922
llama-2-7b,1024,170,23283.582089552237,372.88976907649766,156.79917309720787,148.4930158089389,137.8136068647021
llama-2-7b,1024,170,23283.582089552237,372.88976907649766,156.18418707470263,149.07771731344184,138.75001436486338
llama-2-7b,1024,232,23283.582089552237,370.00560485917913,153.86516037542378,151.32458857314668,140.47393442179035
llama-2-7b,1024,232,23283.582089552237,370.00560485917913,153.96165572237211,151.2297460059655,140.32321757203195
llama-2-7b,1024,232,23283.582089552237,370.00560485917913,153.9706216437281,151.2209396895728,140.30922322008504
llama-2-7b,2048,170,23283.582089552237,372.88976907649766,155.44104996366596,149.7904324179149,139.89143740579462
llama-2-7b,2048,170,23283.582089552237,372.88976907649766,155.37213352682232,149.85687305074387,139.9978429929487
llama-2-7b,2048,170,23283.582089552237,372.88976907649766,155.89404517797877,149.35517301491657,139.19436348629125
llama-2-7b,2048,232,23283.582089552237,370.00560485917913,153.78155817869074,151.40685505668523,140.60466628205242
llama-2-7b,2048,232,23283.582089552237,370.00560485917913,153.97533330762798,151.21631231045214,140.3018697286684
llama-2-7b,2048,232,23283.582089552237,370.00560485917913,153.92766872967007,151.26313730147626,140.37628056914716
llama-2-7b,4096,170,23283.582089552237,372.88976907649766,155.84823348163613,149.39907607163082,139.26467483536533
llama-2-7b,4096,170,23283.582089552237,372.88976907649766,156.11726471074806,149.14162205372827,138.8523586852375
llama-2-7b,4096,170,23283.582089552237,372.88976907649766,156.2058430488821,149.0570495641832,138.71691468020683
llama-2-7b,4096,232,23283.582089552237,370.00560485917913,153.91318137914274,151.27737521191585,140.3989064118713
llama-2-7b,4096,232,23283.582089552237,370.00560485917913,153.95532032678307,151.23596924179614,140.33310708185417
llama-2-7b,4096,232,23283.582089552237,370.00560485917913,153.8914048640248,151.29878182686758,140.43292423388317
